Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,2,,,,,,,,,,,,,,,2,1,,,
2020-03-14,,,,,,,,2,,,,,,,,,,,,,,,3,1,,,
2020-03-15,,,,,,2,,4,,,,,,,,,,,,,,,4,1,,,
2020-03-16,,,,,,4,,4,,,,,,,,,,,,,,,5,1,,1,
2020-03-17,,,,,,4,,4,,,,,,,,,,,,,,,5,3,,,
2020-03-18,,,,,,4,,5,,,,,,,,,,,,,14,,5,3,,,
2020-03-19,,,,,,4,1,5,,,,,,,,,,,,,15,,7,4,,3,
2020-03-20,,,,2,2,4,1,8,,1,,,,,,,,,,,,,12,4,,3,
2020-03-21,1,,,3,3,5,1,8,,3,,,2,,,,,,,,28,,12,9,,3,78
