Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-26,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-27,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-28,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-02-29,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-01,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-02,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-03,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-04,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-05,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-06,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-07,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-08,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0
2020-03-09,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0
2020-03-10,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0
2020-03-11,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,5.0
2020-03-12,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,5.0
2020-03-13,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,6.0
2020-03-14,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,,6.0
2020-03-15,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,9.0
2020-03-16,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,10.0
2020-03-17,,,,,,,,17.0,,,,,,,,,,,,,,,,1.0,,,18.0
2020-03-18,,,,,,,,17.0,,,,,,,,,,,,,,,,2.0,,,19.0
2020-03-19,3.0,,,,,,,18.0,,,,,,,,,,,,,,,,2.0,,,23.0
2020-03-20,2.0,,,,,,,21.0,,,,,,,,,,,,,,,,5.0,,,28.0
2020-03-21,,,,,,,,24.0,,,,,,,,,,,,,37.0,,,5.0,,,68.0
2020-03-22,,,,,,,,36.0,,,,,,,,,,,,,43.0,,,6.0,,,87.0
2020-03-23,2.0,,,,,,,41.0,,,,,,,,,,,,,43.0,,,7.0,,,93.0
2020-03-24,2.0,,,,,,,41.0,,,,,,,,,,,,,48.0,,,9.0,,,100.0
2020-03-25,5.0,,,,,,,48.0,,,,,,,,,,,,,55.0,,,9.0,,,117.0
2020-03-26,9.0,,,,,,,48.0,,,,,,,,,,,,,56.0,,,9.0,,32.0,154.0
2020-03-27,10.0,,,,,,,54.0,,,,,,,,,,,,,51.0,,,14.0,,37.0,166.0
2020-03-28,,,,,,,,54.0,,,,,,,,,,,,,60.0,,,15.0,,42.0,181.0
2020-03-29,,,,,,,,55.0,,,,,,,,,,,,,59.0,,,14.0,,46.0,184.0
2020-03-30,23.0,,,17.0,,,,54.0,,,,,,,,,,,,,61.0,,,16.0,,47.0,218.0
2020-03-31,25.0,,,18.0,,,,49.0,,,,,,,,,,,,,67.0,,,18.0,,51.0,228.0
