Canton,Date,Time
AG,2020-03-27,15:00
AI,2020-03-28,18:00
AR,2020-03-29,08:00
BE,2020-03-29,00:00
BL,2020-03-29,00:00
BS,2020-03-29,10:00
FR,2020-03-29,00:00
GE,2020-03-29,12:00
GL,2020-03-28,13:30
GR,2020-03-27,00:00
JU,2020-03-28,16:00
LU,2020-03-29,11:00
NE,2020-03-29,14:00
NW,2020-03-28,15:30
OW,2020-03-27,00:00
SG,2020-03-29,00:00
SH,2020-03-29,08:00
SO,2020-03-29,00:00
SZ,2020-03-29,00:00
TG,2020-03-29,00:00
TI,2020-03-29,08:00
UR,2020-03-28,00:00
VD,2020-03-28,00:00
VS,2020-03-28,15:00
ZG,2020-03-27,18:00
ZH,2020-03-28,14:00
